ddyg,dosage_and_administration,drug_properties,flavor_and_meridian_tropism,functions_of_curing,latin,medicinal_parts,name,nmedicinal_partsame,other_name,pinyin,plant,process,production_place,taboos,type_
《神农本草经》列为中品,内服：煎汤，2～9g；或入丸、散。外用：适量，研末抽鼻或调敷。,"草麻黄：呈细长圆柱形，少分枝，直径1～2mm。有的带少量棕色木质茎。表面淡绿色至黄绿色，有细纵脊线，触之微有粗糙感。节明显，节间长2～6cm。节上有膜质鳞叶，长3～4mm；裂片2稀3，锐三角形，先端灰白色，反曲，基部联合成筒状，红棕色。体轻，质脆，易折断，断面略呈纤维性，周边绿黄色，髓部红棕色，近圆形。气微香，味涩、微苦。中麻黄：多分枝,直径1.5～3mm,有粗糙感.节间长2～6cm,膜质鳞叶长2～3mm,裂片3稀2,先端锐尖，断面髓部呈三角状圆形。木贼麻黄：较多分枝,直径1～1.5mm,无粗糙感。节间长1.5～3cm,膜质鳞叶长1～2mm,裂片2稀3,上部为短三角形，灰白色，先端多不反曲，基部棕红色至棕黑色。",温；辛、微苦；归肺、膀胱经,发汗解表，宣肺平喘，利水消肿。用于风寒感冒，胸闷喘咳，风水浮肿；支气管哮喘。,Herba Ephedrae,草质茎,麻黄,草质茎,龙沙、狗骨,MA HUANG,喜凉爽干燥的气候，耐严寒，对土壤要求不严格，砂质壤土，砂土最为适宜，低洼地或排水不良的粘土不宜栽培；用种子及分株繁殖。,秋季采割绿色的草质茎。晒干。,河北、山西、内蒙古,体虚自汗、盗汗、虚喘及阴虚阳亢者禁服。,解表药
《本草从新》,内服：煎汤，9～15g；或入丸、散；或熬膏。,党参：呈长圆柱形，稍弯曲，长10～35cm，直径0.4～2cm。表面黄棕色至灰棕色，根头部有多数疣状突起的茎痕及芽，每个茎痕的顶端呈凹下的圆点状；根头下有致密的环状横纹，向下渐稀疏，有的达全长的一半，栽培品环状横纹少或无；全体有纵皱纹及散在的横长皮孔，支根断落处常有黑褐色胶状物。质稍硬或略带韧性，断面稍平坦，有裂隙或放射状纹理，皮部淡黄白色至淡棕色，木部淡黄色。有特殊香气，味微甜。,平；甘；归脾、肺经,补中益气，健脾益肺。用于脾肺虚弱，气短心悸，食少便溏，喘虚咳嗽，内热消渴。,Radix Codonopsis,干燥根,党参,干燥根,上党人参、黄参、狮头参、中灵草,DANG SHEN,洗净泥土，晒至半干，反复搓揉3－4次，晒至八成干时，捆成小把后晒干。,种殖三年以上，于秋季采挖。洗净泥土，晒至半干，反复搓揉3－4次，晒至八成干时，捆成小把后晒干。,山西、陕西、四川,不宜与藜芦同用。实证、热证禁服；正虚邪实证不宜单独应用。,补益药
《本草纲目》,内服：煎汤，3～9g；研末，每次1～3g；或入丸剂。外用：适量，磨汁涂；或研末调敷。,主根呈类圆锥形或圆柱形，长1～6cm，直径1～4cm。表面灰褐色或灰黄色，有断续的纵皱纹及支根痕。顶端有茎痕，周围有瘤状突起。体重，质坚实，断面灰绿色、黄绿色或灰白色，木部微呈放射状排列。气微，味苦回甜。筋条呈圆柱形，长2～6cm，上端直径约0．8cm，下端直径约0．3cm。剪口呈不规则的皱缩块状及条状，表面有数个明显的茎痕及环纹，断面中心灰白色，边缘灰色。,温；甘、微苦；归肝、胃经,散瘀止血，消肿定痛。用于咯血，吐血，衄血，便血，崩漏，外伤出血，胸腹刺痛，跌扑肿痛。,Radix Notoginseng,根,三七,根,山漆、金不换、血参、人参三七、田三七,SAN QI,"喜温暖阴湿气候，忌严寒酷暑。土壤含水量以22－40%为宜。夏季气温不超过35C,冬季气温不低于零下5C，均能生长。土质以疏松，排水良好的砂质壤土为好。肥力要求中等，过于肥沃的土壤不宜栽培。但过粘、过砂以及低洼易积水的地方不宜种植。忌连作。用种子播种，再育苗移栽。",种植3～4年后即可采收。在7～8月采收的称“春三七”，质量好，产量高；在12月至1月采收的三七称“冬三七”，质量差产量低。挖取的块根，洗净泥土，剪去茎秆，日晒或火烘约六成干时，将支根、须根分别剪下，,云南、广西,孕妇慎用。,止血药
《本草拾遗》,内服：煎汤，5～10g，研末，1.5～3g；或入丸、散。,本品呈不规则的扁球形，直径0.5～1.5cm。表面黄色或黄褐色，有不规则网状皱纹。顶端有略凹陷的茎痕，底部常有疙瘩状凸起。质硬而脆，断面黄色，角质样，有蜡样光泽。气微，味苦。,温；辛、苦；归肝、脾经,活血，利气，止痛。用于胸胁、腕腹疼痛，经闭痛经，产后瘀阻，跌扑肿痛。,Rhizoma Corydalis,块茎,延胡索,块茎,延胡、元胡索、玄胡索、元胡,YAN HU SUO,喜温暖湿润的气候，怕干旱，耐寒，怕涝，忌强光照。用块茎繁殖，9月下旬至10月上旬下种最为适宜。忌连作。,夏初茎叶枯萎时采挖。除去须根，洗净，置沸水中煮至恰无白心时，取出，晒干。,浙江、江苏、湖北,孕妇禁服；体虚者慎服，或与补益药同用。,活血化瘀药
《本草拾遗》,内服：煎汤，6～10g，或入丸、散。外用：适量，研末调敷。,本品多呈纺锤状，略弯曲，有的中部收缩成连珠状，长6～15cm，直径1～3cm。表面黄棕色或黄褐色，有纵皱纹及稀疏的细根痕。质坚硬。切片厚0.2～2mm，切面黄白色或淡黄棕色，射线放射状，可见年轮环纹，中心颜色较深。气香，味微苦、辛，有清凉感。质老、不呈纺锤状的直根，不可供药用。,温；辛；归脾、肾、肺、膀胱经,顺气止痛，温肾散寒。用于胸腹胀痛，气逆喘急，膀胱虚冷，遗尿尿频，疝气，痛经。,Radix Linderae,根,乌药,根,旁其、天台乌药、矮樟、????,WU YAO,适应性强，喜阳光充足，土壤疏松肥沃的酸性土质中栽培为佳。,全年均可采挖。除去细根，洗净，趁鲜切片，晒干，或直接晒干。,浙江、安徽、江西,孕妇及体虚者慎服。,理气药
《本经》列为上品,内服：煎汤，2～6g；或研末，1～3g。外用：适量，研末吹鼻、塞耳、敷脐；或煎水含漱。,常卷缩成团。根茎横生呈不规则圆柱形，具短分枝，长1～lOcm，直径0.2～0.4cm；表面灰棕色，粗糙，有环形的节，节间长0.2～0.3cm，分枝顶端有碗状的茎痕。根细长，密生节上，长20cm，直径0.1cm；表面灰黄色，平滑或具纵皱纹，有须根及须根痕。基生叶1～3，具长柄，表面淡绿，光滑；叶片多破碎，完整者心形至肾状心形，全缘，先端急尖，基部深心形，长4～10cm，宽6～12cm。有的可见花，多皱缩，钟形，暗紫色，花被顶裂片由基部反卷与花被筒几全部相贴。果实半球形。气辛香，辛辣、麻舌。栽培品的根茎多分枝，长5～15cm，直径0．2～0．6cm。根长15～40cm，直径0．1～0．2cm。叶甚多。,温；辛；归肺、肾、心经；小毒,祛风散寒，通窍止痛，温肺化饮。用于风寒感冒，头痛，牙痛，鼻塞鼻渊，风湿痹痛，痰饮喘咳。,Radix et Rhizoma Asari,全草,细辛,全草,小辛、细草、独叶草、金盆草、山人参,XI XIN,喜冷凉、阴湿的气候，耐严寒，怕高温。宜在富含腐殖质的疏松肥沃的壤土中生长。忌强光与干旱。用种子或分根繁殖。,夏季果熟期或初秋采挖。除去泥沙，每十来棵捆成一把，放阴凉处阴干。,辽宁、吉林、黑龙江、陕西,气虚多汗者慎服，热病及阴虚、血虚者禁服。,解表药
《本经》列为上品,内服：煎汤，3～10g（大剂量30g），宜另煎兑入；研末，1-3g；或熬膏、泡酒、入丸、散。,生晒参:主根呈纺锤形或圆柱形，长3～15cm，直径l～2cm。表面灰黄色，上部或全体有疏浅断续的粗横纹及明显的纵皱，下部有支根2～3条，并着生多数细长的须根，须根上常有不明显的细小疣状突起。根茎芦头长1～4cm，直径0.3～1.5cm，多拘挛而弯曲，具不定根?J和稀疏的凹窝状茎痕芦碗。质较硬，断面淡黄白色，显粉性，形成层环纹棕黄色，皮部有黄棕色的点状树脂道及放射状裂隙。香气特异，味微苦、甘。生晒山参:主根与根茎等长或较短，呈人字形、菱形或圆柱形，长2～10cm。表面灰黄色，具纵纹，上端有紧密而深陷的环状横纹，支根多为2条，须根细长，清晰不乱，有明显的疣状突起，习称“珍珠疙瘩”。根茎细长，上部具密集的茎痕，不定根较粗，形似枣核。,微温；甘、微苦；归心、肺、脾经,大补元气，复脉固脱，补脾益肺，生津，安神。用于体虚欲脱，肢冷脉微，脾虚食少，肺虚喘咳，津伤口渴，内热消渴，久病虚羸，惊悸失眠，阳痿宫冷；心力衰竭，心原性休克。,Radix Ginseng,根,人参,根,土精、神草、黄参、血参、地精、金井玉阑，孩儿参、棒棰,REN SHEN,人参系半阴性植物。喜冷凉湿润的气候，忌强光直射，适宜生长在有一定光照，郁闭的山坡下。栽培于土层深厚，通透性良好，富含腐殖质，肥沃的中性或微酸性砂壤土中。并搭设荫棚。忌连作。用种子繁殖。,因人参一般栽种6年左右采收，9～10月采挖。洗净，除去茎叶后加工成生晒参、红参、糖参等。野山参采挖时防止折断支根及须根。但多数都加工成生晒参。,吉林、辽宁、黑龙江,实热证、湿热证及正气不虚者禁服。不宜与茶同服。不宜与藜芦同用。,补益药
《本经》列为上品,内服：煎汤，3～10g（大剂量30g），宜另煎兑入；研末，1-3g；或熬膏、泡酒、入丸、散。,生晒参:主根呈纺锤形或圆柱形，长3～15cm，直径l～2cm。表面灰黄色，上部或全体有疏浅断续的粗横纹及明显的纵皱，下部有支根2～3条，并着生多数细长的须根，须根上常有不明显的细小疣状突起。根茎芦头长1～4cm，直径0.3～1.5cm，多拘挛而弯曲，具不定根?J和稀疏的凹窝状茎痕芦碗。质较硬，断面淡黄白色，显粉性，形成层环纹棕黄色，皮部有黄棕色的点状树脂道及放射状裂隙。香气特异，味微苦、甘。生晒山参:主根与根茎等长或较短，呈人字形、菱形或圆柱形，长2～10cm。表面灰黄色，具纵纹，上端有紧密而深陷的环状横纹，支根多为2条，须根细长，清晰不乱，有明显的疣状突起，习称“珍珠疙瘩”。根茎细长，上部具密集的茎痕，不定根较粗，形似枣核。,微温；甘、微苦；归心、肺、脾经,大补元气，复脉固脱，补脾益肺，生津，安神。用于体虚欲脱，肢冷脉微，脾虚食少，肺虚喘咳，津伤口渴，内热消渴，久病虚羸，惊悸失眠，阳痿宫冷；心力衰竭，心原性休克。,Radix Ginseng,根,人参,根,土精、神草、黄参、血参、地精、金井玉阑，孩儿参、棒棰,REN SHEN,人参系半阴性植物。喜冷凉湿润的气候，忌强光直射，适宜生长在有一定光照，郁闭的山坡下。栽培于土层深厚，通透性良好，富含腐殖质，肥沃的中性或微酸性砂壤土中。并搭设荫棚。忌连作。用种子繁殖。,因人参一般栽种6年左右采收，9～10月采挖。洗净，除去茎叶后加工成生晒参、红参、糖参等。野山参采挖时防止折断支根及须根。但多数都加工成生晒参。,吉林、辽宁、黑龙江,实热证、湿热证及正气不虚者禁服。不宜与茶同服。不宜与藜芦同用。,补益药
《本经》列为中品,内服：煎汤，5～10g；或入丸、散。外用：适量，烧存性，研末撒或调敷；或煎汤洗。,本品呈类球形或扁球形，直径1.5～3cm。表面乌黑色或棕黑色，皱缩不平，基部有圆形果梗痕。果核坚硬，椭圆形，棕黄色，表面有凹点；种子扁卵形，淡黄色。气微，味极酸。,平；酸、涩；归肝、脾、肺、大肠经,敛肺，涩肠，安蛔，生津。用于肺虚久咳，久痢滑肠，虚热消渴，蛔厥呕吐腹痛；道蛔虫症。,Fructus Mume,近成熟果实,乌梅,近成熟果实,梅实、熏梅、桔梅肉,WU MEI,土壤要求不严，以土层深厚，富含腐植质，排水良好的砂质壤土为佳。怕涝，耐干旱。用种子、嫁接、压条等方法繁殖。,11～12月间采挖。低温烘干后闷至色变黑。,浙江、福建、云南,表邪未解者禁服，内有实邪者慎用。不宜多食。,收涩药
《开宝本草》,内服：煎汤，6～10g；或磨汁；或研末；或入丸、散。外用：适量，含漱，或捣敷。,本品根茎呈不规则的结节状，顶端常残存茎基，其下着生根数条。根呈长圆柱形，常有分枝，长短不等，直径0.7～1.5cm。表面棕色至棕褐色，有不规则的纵皱纹及突起的横向皮孔。质坚硬，难折断，断面皮部浅棕色，木部淡黄色。有豆腥气，味极苦。,寒；苦；归肺、胃经,清热解毒，消肿利咽。用于火毒蕴结，咽喉肿痛，齿龈肿痛。,Radix et Rhizoma Sophorae Tonkinensis,根,山豆根,根,广豆根、苦豆根、山大豆根,SHAN DOU GEN,,秋季采挖。除去杂质，洗净，干燥。,广西、广东、江西,虚火喉痹及脾胃虚寒泄泻者禁服。,清热药
